feature,mean_shap,raw_feature
Context: a campaign rally,-0.010921455075196816,context__Context_a campaign rally
Context: an interview on Meet the Press,-0.010856787263712428,context__Context_an interview on Meet the Press
State: Wisconsin,-0.007938657979151895,state__State_Wisconsin
Speaker's job title: Social media posting,-0.0077228255065262185,job__Speaker's job title_Social media posting
Context: a book,-0.007604983988145496,context__Context_a book
State: Georgia,-0.006763794436956032,state__State_Georgia
Speaker's job title: Senator,-0.006046784302524289,job__Speaker's job title_Senator
Speaker's job title: U.S. Senator,-0.005976258522343008,job__Speaker's job title_U.S. Senator
Subject: education,-0.005852459529637848,subject__education
Subject: candidates-biography,-0.005672856971871129,subject__candidates-biography
Context: Denver,-0.00552638647513945,context__Context_Denver
Speaker's job title: Representative,-0.00552638647513945,job__Speaker's job title_Representative
Subject: population,-0.005526381978741442,subject__population
Context: a website,-0.005422747945002802,context__Context_a website
"Speaker's job title: (other, less common)",-0.005275425281597126,job__Speaker's job title_infrequent_sklearn
Context: a speech at the Democratic National Convention,-0.005221289475761722,context__Context_a speech at the Democratic National Convention
Context: a chain e-mail,-0.005006857976997766,context__Context_a chain e-mail
worst,-0.004906168097069091,text__worst
State: New Jersey,-0.004851253235220549,state__State_New Jersey
Subject: campaign-advertising,-0.004845524596422684,subject__campaign-advertising
grown,-0.004812001241048434,text__grown
Subject: fake-news,-0.004809498976819612,subject__fake-news
Speaker's job title: Former governor of Michigan,-0.0045715043450596455,job__Speaker's job title_Former governor of Michigan
Speaker's job title: Former U.S. Senator,-0.004425040154545558,job__Speaker's job title_Former U.S. Senator
Context: a House floor debate,-0.004425040154545558,context__Context_a House floor debate
Speaker's job title: Radio host,-0.004166208597799804,job__Speaker's job title_Radio host
produce,-0.004016319883992896,text__produc
grown percent,-0.003970374977765267,text__grown percent
Subject: message-machine-2014,-0.003942321598276776,subject__message-machine-2014
Context: an interview on MSNBC,-0.0038368233361477508,context__Context_an interview on MSNBC
"Speaker's job title: U.S. representative, Florida District 22",-0.0037950635642989465,"job__Speaker's job title_U.S. representative, Florida District 22"
huckabee,-0.0037862615434362356,text__huckabe
genetically,-0.0037651872330040827,text__genet
State: Pennsylvania,-0.003737968660245326,state__State_Pennsylvania
attend record,-0.0037133349459802126,text__attend record
Speaker's job title: Ohio attorney general,-0.003709535936342155,job__Speaker's job title_Ohio attorney general
Subject: obama-birth-certificate,-0.003532732473963406,subject__obama-birth-certificate
Subject: patriotism,-0.0034832434362268914,subject__patriotism
newport,-0.003440058348380279,text__newport
per students,-0.003286496695255938,text__per student
Context: a Twitter post,-0.003270874799403686,context__Context_a Twitter post
Subject: history,-0.00311684123685638,subject__history
says united,-0.0031139378242218685,text__say unit
"Context: St. Paul, Minn.",-0.003107063645841641,"context__Context_St. Paul, Minn."
mike huckabee,-0.0030366384493566395,text__mike huckabe
income inequality,-0.0030205725585236137,text__incom inequ
ranks first,-0.0030161409282714103,text__rank first
charter school,-0.0029158108553977444,text__charter school
Party: organization,-0.0028911905739228134,party__Party_organization
Context: an interview with The Plain Dealer,-0.0028742655130263813,context__Context_an interview with The Plain Dealer
Speaker's job title: Former White House Press Secretary,-0.0028742655130263813,job__Speaker's job title_Former White House Press Secretary
Context: his State of the State address.,-0.0028742655130263813,context__Context_his State of the State address.
education state,-0.0028610287346535488,text__educ state
wade,-0.0028023103046222898,text__wade
State: Vermont,-0.0027975352166469767,state__State_Vermont
Context: an MSNBC interview,-0.0027426789714395067,context__Context_an MSNBC interview
rest country,-0.002702483379679276,text__rest countri
still get,-0.002696450175429606,text__still get
florida ranks,-0.002677417000864171,text__florida rank
americans killed,-0.0026368412619346146,text__american kill
since,-0.0025741891150702586,text__sinc
roe wade,-0.0025237590771403366,text__roe wade
Subject: message-machine,-0.0024984516461115046,subject__message-machine
show,-0.002494578107075802,text__show
State: Oregon,-0.0024886440589432673,state__State_Oregon
mccain voted,-0.0024884817785333206,text__mccain vote
Context: a commentary,-0.002420553514127172,context__Context_a commentary
percent florida,-0.0024045383033391987,text__percent florida
accidents,-0.002367261264188232,text__accid
inequality,-0.0023235744984377487,text__inequ
Context: a television ad,-0.0023094331506585118,context__Context_a television ad
americans believe,-0.002303370312505636,text__american believ
woman earn,-0.0023030157223580634,text__woman earn
charter,-0.002302776308701989,text__charter
fatalities,-0.0022700314463696887,text__fatal
gunfire,-0.002268965506696848,text__gunfir
force one,-0.0022585993310339767,text__forc one
conflict interest,-0.0022524865685470056,text__conflict interest
Speaker's job title: U.S. senator from Ohio,-0.0022407564425042533,job__Speaker's job title_U.S. senator from Ohio
rep,-0.0022387240029635635,text__rep
group,-0.0022376840830995027,text__group
lagged,-0.0022322899029816982,text__lag
percent national,-0.002197904682899635,text__percent nation
white people,-0.0021746512389761692,text__white peopl
university background,-0.002129306231775828,text__univers background
basketball,-0.0021090469411541497,text__basketbal
every dollars,-0.0020808620353310542,text__everi dollar
"Speaker's job title: President, Heritage Foundation",-0.0020713757638944276,"job__Speaker's job title_President, Heritage Foundation"
Speaker's job title: Talk-show host,-0.0020611677431392104,job__Speaker's job title_Talk-show host
single day,-0.0020585424967204586,text__singl day
work woman,-0.002048608834133635,text__work woman
begun,-0.0020406181991213016,text__begun
wisconsin,-0.002028168711730944,text__wisconsin
work families,-0.002010316197700354,text__work famili
Speaker's job title: Speaker of the House of Representatives,-0.0020024371367354165,job__Speaker's job title_Speaker of the House of Representatives
casino,-0.0019941726225953154,text__casino
voters participation,-0.001975845385704966,text__voter particip
Speaker's job title: Secretary of State,-0.0019618387682138576,job__Speaker's job title_Secretary of State
americans support,-0.0019598694520846843,text__american support
State: Maryland,-0.001943925073701568,state__State_Maryland
Context: unknown,-0.0019322702614970992,context__Context_unknown
roe,-0.0019223571310957837,text__roe
produce oil,-0.0019165265757122496,text__produc oil
players,-0.0019145430475632933,text__player
larger,-0.0019114501376281327,text__larger
island,-0.0018988292717746884,text__island
Context: a speech on the House floor,-0.001893524810370485,context__Context_a speech on the House floor
gambling,-0.0018923133015194171,text__gambl
ham,-0.0018722839915373069,text__ham
"Speaker's job title: Senior vice president, HDR Engineering",-0.0018709120357156088,"job__Speaker's job title_Senior vice president, HDR Engineering"
twice,-0.001847661742988576,text__twice
Context: a campaign press release,-0.0018454865079501903,context__Context_a campaign press release
via,-0.0018346231238260207,text__via
support amnesty,-0.0018304840646109074,text__support amnesti
rolls back,-0.0018249506732933786,text__roll back
dinner,-0.0018204625213753998,text__dinner
Context: a TV interview.,-0.0018026440840829144,context__Context_a TV interview.
Context: a meme on social media,-0.001783747891387207,context__Context_a meme on social media
Speaker's job title: Wisconsin Senate Minority Leader,-0.0017762321902289261,job__Speaker's job title_Wisconsin Senate Minority Leader
worst voted,-0.0017672682829559376,text__worst vote
Subject: medicare,-0.0017587107464984212,subject__medicare
Context: a blog post,-0.00175612870077231,context__Context_a blog post
killed gunfire,-0.0017511811190813683,text__kill gunfir
nazis,-0.001749532765219665,text__nazi
certified,-0.0017449710414735808,text__certifi
cut deficit,-0.001740124517945838,text__cut deficit
State: Colorado,-0.0017366266594482172,state__State_Colorado
said people,-0.0017259760332168797,text__said peopl
county texas,-0.0017044828251959732,text__counti texa
twice fast,-0.0016985379210023301,text__twice fast
tom,-0.0016924681621818983,text__tom
Party: newsmaker,-0.0016782885118593563,party__Party_newsmaker
Speaker's job title: U.S. House member,-0.001664923006498139,job__Speaker's job title_U.S. House member
State: Texas,-0.0016614349761987668,state__State_Texas
get health,-0.0016537465893547499,text__get health
Subject: guns,-0.0016491496080702406,subject__guns
Context: a newsletter,-0.001633125193099983,context__Context_a newsletter
Speaker's job title: Congresswoman,-0.0016136914583090973,job__Speaker's job title_Congresswoman
treatment,-0.0016039553501681673,text__treatment
recovery,-0.001600365569820523,text__recoveri
seniors,-0.001597652542556113,text__senior
new business,-0.0015950253849106725,text__new busi
Subject: china,-0.0015900684671895375,subject__china
state worst,-0.0015860072972708745,text__state worst
Speaker's job title: musician,-0.0015755825904566415,job__Speaker's job title_musician
ceo,-0.0015752439493605915,text__ceo
rhode island,-0.001571295587128848,text__rhode island
rhode,-0.001571295587128848,text__rhode
says newt,-0.001570778597221938,text__say newt
one state,-0.0015634958744151894,text__one state
state created,-0.0015515549683908921,text__state creat
Context: a newspaper article,-0.0015496884658598175,context__Context_a newspaper article
Context: a flier,-0.0015402435829611775,context__Context_a flier
year americans,-0.0015351114664396831,text__year american
region,-0.0014701256046256383,text__region
hurt,-0.001467576071732596,text__hurt
governor state,-0.001458202792982856,text__governor state
oil,-0.0014446766968596516,text__oil
said state,-0.0014430535250557891,text__said state
across state,-0.0014388896648080361,text__across state
Speaker's job title: Political commentator and radio talk show host,-0.0014388651698446016,job__Speaker's job title_Political commentator and radio talk show host
Party: constitution-party,-0.0014388651698446003,party__Party_constitution-party
two americans,-0.0014385210141765773,text__two american
day funding,-0.0014301109771199766,text__day fund
